"Date","Entry (tags)","Expense amount","Income amount","Currency","Amount in main currency","Main currency","Description"
"2014-07-08","imprumut","10,00","","RON","10,00","RON","tabita - pt cadou carmen"
"2014-07-08","cadouri","50,00","","RON","50,00","RON","cadou Carmen"
"2014-07-08","donatie","200,00","","RON","200,00","RON","devotament vox"
"2014-07-07","transport","24,00","","RON","24,00","RON","abonament 33 - 15 zile"
"2014-07-07","mancare","5,60","","RON","5,60","RON","apa si caltone - la scoala"
"2014-07-06","donatie","5,00","","RON","5,00","RON","colecta la vox"
"2014-07-06","cadouri","15,00","","RON","15,00","RON","flori pt daniela la binecuvanatre"
"2014-07-06","casa","15,00","","RON","15,00","RON","coltare pt tantari"
"2014-07-06","donatie","93,00","","RON","93,00","RON","garnise la oradea"
"2014-07-05","comisioane bancare","3,51","","RON","3,51","RON","bani daria - zugravit"
"2014-07-05","donatie","350,00","","RON","350,00","RON","zugravit in casa - fam Sass"
"2014-07-05","motorina","100,00","","RON","100,00","RON","inainte de plecarea la Pecica"
"2014-07-04","transport","68,00","","RON","68,00","RON","dus ntors oradea cu microbuzul"
"2014-07-04","transport","4,00","","RON","4,00","RON","2 bilete RATT"
"2014-07-04","mancare","3,00","","RON","3,00","RON","BUSEU cu sunca"
"2014-07-03","casa","65,76","","RON","65,76","RON","gresie si sita pt bucatarie"
